City_ID,City,Country,Lat,Lng,Max Temp,Current_Description,Hotel Name
232,Komsomolskiy,UZ,40.4272,71.7189,79.52,scattered clouds,Ikathouse
233,Kyra,RU,49.5776,111.9753,40.44,overcast clouds,
237,Katsuura,JP,35.1333,140.3,69.12,clear sky,Katsuura Hotel Mikazuki
238,Guilin,CN,25.2819,110.2864,75.31,overcast clouds,Grand 0773 Hotel
239,Zhigansk,RU,66.7697,123.3711,56.84,light rain,Gostinichnyy Kompleks Aylgy
243,Haimen,CN,23.1935,116.6142,78.69,overcast clouds,Jinghao Business Hotel
244,Alice Springs,AU,-23.7,133.8833,49.55,scattered clouds,Desert Palms Alice Springs
247,Liepaja,LV,56.5419,21.0367,62.58,haze,Promenade Hotel
249,Buta,CD,2.7858,24.73,74.01,overcast clouds,HOTEL BISO NA BISO
250,Chapais,CA,49.7834,-74.8492,67.78,overcast clouds,Hôtel Opémiska
252,Kilindoni,TZ,-7.9139,39.6668,78.64,light rain,Bustani B&B
253,Mantua,IT,45.1667,10.7833,74.44,few clouds,Hotel la Favorita
254,Okoneshnikovo,RU,54.8377,75.0834,53.1,clear sky,
255,Hasaki,JP,35.7333,140.8333,63.28,clear sky,Hotel Sunrise Choshi
256,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,clear sky,Glamping & Camping
258,Villaviciosa,ES,43.4813,-5.4357,64.0,overcast clouds,Hotel Carlos I
260,Locri,IT,38.2414,16.2623,70.38,overcast clouds,Grand Hotel President
262,Vanimo,PG,-2.6741,141.3028,76.44,overcast clouds,Vahmoneh Lodge Vanimo
263,Patacamaya,BO,-17.2333,-67.9167,56.14,overcast clouds,RESIDENCIAL ISLA VIGU
264,Quatre Cocos,MU,-20.2078,57.7625,76.08,overcast clouds,Emeraude Beach Attitude Hotel
265,Dongli,CN,23.5656,116.8194,78.78,mist,Chenghai Shizhang Donghuaqiao Hostel
266,Matagami,CA,49.7502,-77.6328,77.11,scattered clouds,Hôtel Matagami
267,Gat,IL,31.61,34.7642,72.81,clear sky,OlusHome
269,Deputatskiy,RU,69.3,139.9,54.07,broken clouds,Baza Otdykha
272,Zhengjiatun,CN,43.5064,123.5064,52.48,clear sky,Siping Hexiang Hotel
278,Isangel,VU,-19.55,169.2667,68.65,few clouds,Tanna Lodge
279,Kiama,AU,-34.6833,150.8667,54.57,light rain,The Sebel Kiama Harbourside
281,Berlevag,NO,70.8578,29.0864,60.75,clear sky,Kvitbrakka
282,Asau,RO,46.4333,26.4,53.76,overcast clouds,Casa Mika Ciobanus
284,San Juan,AR,-31.5375,-68.5364,79.74,clear sky,Hotel Provincial
285,Port Elizabeth,ZA,-33.918,25.5701,59.29,moderate rain,39 On Nile Guest House
286,Kjollefjord,NO,70.9457,27.3465,64.45,clear sky,Hotel Nordkyn
287,Arandis,,-22.4167,14.9667,72.88,clear sky,Arandis Rent House
289,Maridi,SS,4.9158,29.4742,68.54,moderate rain,
291,Santiago De Chuco,PE,-8.15,-78.1833,61.43,overcast clouds,Hotel Mis Sueños
293,Bambous Virieux,MU,-20.3428,57.7575,76.21,few clouds,Casa Tia Villa
295,Abha,SA,18.2164,42.5053,77.25,clear sky,Abha Hotel
296,Saint-Pierre,RE,-21.3393,55.4781,74.88,clear sky,Lindsey Hôtel
297,Joshimath,IN,30.5667,79.5667,60.22,clear sky,Shivalik Camps & Resort
298,Machacamarca,BO,-18.1667,-67.0333,57.61,scattered clouds,Fmilia. Flores DanNorm
299,Garden City,US,42.3256,-83.331,68.61,mist,Quality Inn & Suites Banquet Center
301,Walvis Bay,,-22.9575,14.5053,72.55,clear sky,Oyster Box Guesthouse
302,Marawi,PH,7.9986,124.2928,67.64,overcast clouds,Derogongan Residence
305,Ribeira Grande,PT,38.5167,-28.7,64.8,few clouds,Quinta da Meia Eira
307,Tura,IN,25.5198,90.2201,73.89,overcast clouds,Hotel RIKMAN Continental
309,Robertson,US,36.5167,-86.8667,74.79,overcast clouds,Hampton Inn Springfield
310,Mwense,ZM,-10.3845,28.698,68.16,overcast clouds,Mwense Council Guest House
313,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,overcast clouds,Pestana Bahia Praia
314,Tuatapere,NZ,-46.1333,167.6833,49.82,scattered clouds,Ron and Tony's Bed & Breakfast
318,Newport,GB,51.5877,-2.9984,70.68,overcast clouds,ibis budget Newport
320,Tatarsk,RU,55.218999999999994,75.9828,52.03,clear sky,Gostinitsa Neptun Tatarsk
